epoch,train_loss,val_loss,val_accuracy,val_auc,lr
1,0.690402,0.680449,0.727273,0.866667,0.00010000
2,0.690100,0.681367,0.545455,0.850000,0.00009990
3,0.688346,0.677391,0.545455,0.850000,0.00009961
4,0.681171,0.668872,0.545455,0.866667,0.00009911
5,0.674986,0.658453,0.636364,0.866667,0.00009843
6,0.677600,0.657599,0.636364,0.866667,0.00009755
7,0.681548,0.657984,0.681818,0.866667,0.00009649
8,0.671331,0.659298,0.545455,0.866667,0.00009524
9,0.673877,0.662667,0.545455,0.850000,0.00009382
10,0.665695,0.656049,0.545455,0.866667,0.00009222
11,0.673749,0.653599,0.636364,0.866667,0.00009045
12,0.665792,0.658122,0.545455,0.866667,0.00008853
13,0.671543,0.656678,0.545455,0.866667,0.00008645
14,0.667476,0.651011,0.545455,0.866667,0.00008423
15,0.669934,0.644984,0.545455,0.866667,0.00008187
16,0.674500,0.653410,0.545455,0.866667,0.00007939
