fold,epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
3,1,0.202685,0.152098,0.750000,0.000000,1.000000,0.675625,0.00029988
3,2,0.220165,0.366322,0.700000,0.400000,0.800000,0.523958,0.00029954
3,3,0.220520,0.201604,0.750000,0.000000,1.000000,0.541250,0.00029896
3,4,0.179769,0.169371,0.750000,0.000000,1.000000,0.573542,0.00029816
3,5,0.189829,0.182328,0.700000,0.400000,0.800000,0.548125,0.00029713
3,6,0.179478,0.158195,0.750000,0.000000,1.000000,0.592083,0.00029587
3,7,0.202401,0.195416,0.750000,0.000000,1.000000,0.548958,0.00029439
3,8,0.192203,0.163348,0.693750,0.400000,0.791667,0.518333,0.00029268
3,9,0.192497,0.227899,0.668750,0.400000,0.758333,0.505833,0.00029076
3,10,0.207000,0.314307,0.750000,0.000000,1.000000,0.546250,0.00028862
3,11,0.205976,0.301167,0.675000,0.400000,0.766667,0.467083,0.00028627
3,12,0.208325,0.226669,0.700000,0.400000,0.800000,0.590000,0.00028371
3,13,0.195380,0.195754,0.750000,0.000000,1.000000,0.601042,0.00028094
3,14,0.182662,0.198438,0.700000,0.400000,0.800000,0.661667,0.00027797
3,15,0.204572,0.220261,0.700000,0.400000,0.800000,0.594375,0.00027480
3,16,0.187670,0.236136,0.750000,0.000000,1.000000,0.568333,0.00027145
3,17,0.185176,0.188026,0.700000,0.400000,0.800000,0.603125,0.00026790
3,18,0.192070,0.200982,0.700000,0.400000,0.800000,0.647083,0.00026418
3,19,0.169279,0.177042,0.700000,0.400000,0.800000,0.611875,0.00026028
3,20,0.171201,0.215171,0.700000,0.400000,0.800000,0.582917,0.00025621
3,21,0.184767,0.233313,0.700000,0.400000,0.800000,0.587292,0.00025198
3,22,0.181529,0.192713,0.700000,0.400000,0.800000,0.639375,0.00024759
3,23,0.185835,0.228405,0.687500,0.400000,0.783333,0.564583,0.00024305
3,24,0.188361,0.209204,0.700000,0.400000,0.800000,0.641042,0.00023837
3,25,0.178549,0.176451,0.700000,0.400000,0.800000,0.700000,0.00023356
3,26,0.175720,0.239389,0.700000,0.400000,0.800000,0.609792,0.00022861
3,27,0.180805,0.165825,0.737500,0.000000,0.983333,0.676042,0.00022355
3,28,0.185833,0.199982,0.700000,0.400000,0.800000,0.682500,0.00021837
3,29,0.174137,0.239931,0.700000,0.400000,0.800000,0.605625,0.00021309
3,30,0.173170,0.185084,0.687500,0.400000,0.783333,0.664792,0.00020771
3,31,0.187536,0.205058,0.700000,0.400000,0.800000,0.688750,0.00020224
3,32,0.176853,0.189419,0.700000,0.400000,0.800000,0.661250,0.00019670
3,33,0.178764,0.186236,0.700000,0.400000,0.800000,0.650000,0.00019108
3,34,0.176208,0.216800,0.750000,0.000000,1.000000,0.583125,0.00018540
3,35,0.180037,0.164802,0.700000,0.400000,0.800000,0.644375,0.00017967
3,36,0.173555,0.181708,0.750000,0.000000,1.000000,0.673958,0.00017389
3,37,0.166460,0.191712,0.700000,0.400000,0.800000,0.645000,0.00016807
