fold,epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
5,1,0.799294,0.920325,0.461538,0.000000,1.000000,0.511905,0.00010000
5,2,0.770269,1.354763,0.461538,0.000000,1.000000,0.619048,0.00009999
5,3,0.698410,0.824073,0.538462,1.000000,0.000000,0.642857,0.00009996
5,4,0.705526,0.767343,0.538462,1.000000,0.000000,0.601190,0.00009990
5,5,0.681902,1.542144,0.461538,0.714286,0.166667,0.541667,0.00009983
5,6,0.647443,4.238142,0.461538,0.714286,0.166667,0.511905,0.00009973
5,7,0.701161,1.751917,0.461538,0.714286,0.166667,0.464286,0.00009961
5,8,0.629457,3.871457,0.461538,0.714286,0.166667,0.476190,0.00009947
5,9,0.807680,1.515886,0.461538,0.714286,0.166667,0.470238,0.00009931
5,10,0.668751,1.012699,0.461538,0.714286,0.166667,0.500000,0.00009912
5,11,0.640075,2.021112,0.461538,0.714286,0.166667,0.494048,0.00009892
5,12,0.700753,1.389137,0.461538,0.714286,0.166667,0.452381,0.00009869
5,13,0.751546,1.062641,0.461538,0.714286,0.166667,0.452381,0.00009844
5,14,0.700074,1.900684,0.461538,0.714286,0.166667,0.464286,0.00009818
5,15,0.668635,4.418575,0.461538,0.714286,0.166667,0.416667,0.00009789
5,16,0.744603,2.593496,0.461538,0.714286,0.166667,0.464286,0.00009758
5,17,0.710604,2.314552,0.461538,0.714286,0.166667,0.422619,0.00009725
5,18,0.648671,3.437346,0.461538,0.714286,0.166667,0.428571,0.00009690
5,19,0.638056,3.302286,0.461538,0.714286,0.166667,0.398810,0.00009652
5,20,0.744504,2.382346,0.461538,0.714286,0.166667,0.380952,0.00009613
5,21,0.646865,3.583398,0.461538,0.714286,0.166667,0.363095,0.00009572
5,22,0.744128,2.013418,0.461538,0.714286,0.166667,0.375000,0.00009529
5,23,0.636095,1.796920,0.461538,0.714286,0.166667,0.321429,0.00009484
5,24,0.641544,3.470354,0.461538,0.714286,0.166667,0.309524,0.00009437
5,25,0.726666,2.912192,0.461538,0.714286,0.166667,0.404762,0.00009388
5,26,0.730939,3.174782,0.461538,0.714286,0.166667,0.357143,0.00009337
5,27,0.727465,3.317600,0.461538,0.714286,0.166667,0.363095,0.00009284
5,28,0.668980,2.668742,0.461538,0.714286,0.166667,0.380952,0.00009229
5,29,0.774404,2.070415,0.461538,0.714286,0.166667,0.357143,0.00009173
5,30,0.694634,1.556405,0.461538,0.714286,0.166667,0.380952,0.00009115
5,31,0.678360,1.895026,0.461538,0.714286,0.166667,0.339286,0.00009055
5,32,0.693891,1.407185,0.461538,0.714286,0.166667,0.333333,0.00008993
5,33,0.727792,2.117122,0.461538,0.714286,0.166667,0.339286,0.00008929
5,34,0.659443,3.233468,0.461538,0.714286,0.166667,0.339286,0.00008864
5,35,0.738063,4.008560,0.461538,0.714286,0.166667,0.345238,0.00008797
5,36,0.757563,3.797209,0.461538,0.714286,0.166667,0.339286,0.00008729
5,37,0.792810,2.499714,0.461538,0.714286,0.166667,0.333333,0.00008658
5,38,0.756673,2.650971,0.461538,0.714286,0.166667,0.339286,0.00008587
